environment,episode_index,chunk_index,chunk_size,chunk_length,mean_within_chunk_delta_l2_first6,first_last_delta_l2_first6,boundary_jump_l2_first6
B,0,0,100,100,0.14042337682040432,0.249817087260206,nan
B,0,1,100,100,0.13142522678869062,0.6823395507501907,0.06538475300993236
B,0,2,100,100,0.13879853634855674,0.6029059028236943,0.07408864374994333
B,0,3,100,100,0.18091403086983104,0.615648602716333,0.13764975277856512
B,0,4,100,100,0.12992825361914268,1.2338751380986872,0.1137672650728164
B,0,5,100,100,0.12645182666328666,0.8423820940571359,0.154932135431594
B,0,6,100,100,0.11290698529188668,0.5486321150701594,0.1765687411522013
B,0,7,100,100,0.1141129229740957,0.225722368297192,0.05502696112773261
B,0,8,100,100,0.13154589697121163,0.23812237401461853,0.030170352209408547
B,0,9,100,100,0.1206641634825837,0.9418517279770298,0.03404082745199138
B,0,10,100,100,0.11785174792420497,1.0385995287718974,0.1179152777616526
B,0,11,100,100,0.13340875338315786,0.2145219828037875,0.17404105115814952
B,0,12,100,100,0.13089863544696637,0.24455801572552593,0.13806015977035255
B,0,13,100,100,0.196715866856145,0.20741415255462783,0.07207681663445072
B,0,14,100,100,0.09887052355879741,0.4672388789984832,0.03077034412015832
B,0,15,100,100,0.16857357978726123,0.923050815008898,0.04605860130895358
B,0,16,100,100,0.15633140939533482,0.6426563261505873,0.17421739370121192
B,0,17,100,100,0.12791041834367903,0.5872695933724009,0.11064877824680629
B,0,18,100,100,0.13966489417083686,0.4896606173422903,0.08591720767121816
B,0,19,100,100,0.12456763647271775,1.1526240026912724,0.25789655836300573
B,0,20,100,100,0.17424307311235077,0.964203712038819,0.09439086714398497
B,0,21,100,100,0.18592807155658903,1.3174724249890273,0.33859096602199207
B,0,22,100,100,0.12704464271932525,0.507789663057755,0.08994915807255235
B,0,23,100,100,0.10280986710932292,0.25512167677896025,0.08576180140672146
B,0,24,100,100,0.1258175141273005,0.701979489938929,0.12046620914829448
B,0,25,100,100,0.10214441293055877,0.38776394599190095,0.24830647959467977
B,0,26,100,100,0.15004895618136524,0.6425184977620736,0.19354854193219537
B,0,27,100,100,0.11845448644758795,0.37193314757411977,0.1408064069075734
B,0,28,100,100,0.15625833796795105,0.8905704811661387,0.10978393717914142
B,0,29,100,100,0.12776781508211082,1.354406354767274,0.21422325357687208
B,0,30,100,100,0.1462591659135002,0.34835640351701125,0.04368711583069775
B,0,31,100,100,0.15385150050452745,0.8430505085446268,0.12926054396403663
B,0,32,100,100,0.15983053658042587,0.7546600625146899,0.11515434263633802
B,0,33,100,100,0.1744464344304106,1.1130897191590055,0.3992369221018609
B,0,34,100,100,0.13755340504728947,0.5611669976193466,0.08721288828355843
B,0,35,100,100,0.12642753721514938,0.24391924057393008,0.12530840109705094
B,0,36,100,87,0.16456521363038173,0.21626771777709555,0.07063506807908654
B,1,37,100,100,0.17093430698154857,0.29413830218526515,nan
B,1,38,100,100,0.13862489016453589,0.3900885138742717,0.16514592815558907
B,1,39,100,100,0.14035508744344266,0.6199663576035769,0.07442647550179998
B,1,40,100,100,0.14866299027706376,0.520385101440507,0.10784063713279166
B,1,41,100,100,0.15447758228498032,1.3385054268312147,0.2414310811808283
B,1,42,100,100,0.11458645496156791,1.1020291045597717,0.3846376291314553
