environment,source_long_segment_start,source_long_segment_end,window_start,window_end,frame_id,action_l2_first6_raw,action_l2_first6_trailing_mean,trajectory_smoothing_window_frames
B,456757,500843,478200,479399,478200,0.4035254141810894,0.4035254141810894,31
B,456757,500843,478200,479399,478333,0.4167968224727192,0.5729029304710119,31
B,456757,500843,478200,479399,478466,0.22798924840506074,0.45607067349636105,31
B,456757,500843,478200,479399,478599,0.8746836436655582,0.541396739563044,31
B,456757,500843,478200,479399,478732,0.3718743379053738,0.6055380695287954,31
B,456757,500843,478200,479399,478866,0.0755540961603662,0.43244297413466376,31
B,456757,500843,478200,479399,478999,0.3276020408963676,0.5182072810208381,31
B,456757,500843,478200,479399,479132,0.5562396264876962,0.39633591738460117,31
B,456757,500843,478200,479399,479265,0.2839540951865469,0.3860354859112216,31
B,456757,500843,478200,479399,479399,0.4988133454687673,0.5086746372611258,31
