episode_index,split,environment,source_split,raw_segment_id,raw_episode_id,raw_episode_start,raw_episode_end,segment_start,segment_end,segment_length,task_name,language_text,language_embedding_dim,language_embedding_sha1,max_valid_actions_from_first_frame,requires_action_padding_for_chunk
0,train,A,training,0,135,1557989,1573798,1572904,1572946,43,lift_red_block_drawer,pick up the red block lying in the drawer,384,abbe7786bb5d375feda2b720e947228669dd4f78,43,1
1,train,A,training,1,125,1412387,1442003,1441275,1441316,42,turn_off_lightbulb,push the switch downwards,384,a5f8fa51b83593652900cd1d7f5813d471cbf8b1,42,1
2,train,A,training,15,135,1557989,1573798,1562094,1562158,65,rotate_blue_block_left,rotate the blue block to the left,384,e43ab82dccb5b58934eb3eab3577e4faaf4bbd8a,65,1
3,train,A,training,16,136,1573799,1605553,1601622,1601686,65,open_drawer,"grasp the drawer handle, then open it",384,9cf49cbe1b390c87a45e60c5eb70064175c5bdba,65,1
4,train,A,training,17,131,1489331,1493048,1490521,1490562,42,turn_off_led,push down the button to turn off the green light,384,2eb329a8f7f3ecc3f816c05f7e692e271a737346,42,1
5,train,A,training,25,137,1605554,1620910,1607191,1607255,65,move_slider_left,slide the door to the left side,384,9567e2b2705501bdcd18c934f970ba63c81aedea,65,1
6,train,A,training,27,136,1573799,1605553,1604234,1604271,38,unstack_block,take off the stacked block,384,1ecbeeac65f20f796ea4c9c6dcfc7264f28751e7,38,1
7,train,A,training,30,134,1533348,1557988,1557311,1557375,65,unstack_block,collapse the stacked blocks,384,a1921811dc2cfdec9b160b21f6f2ef9f67ab8d70,65,1
8,train,A,training,37,143,1709798,1741070,1733525,1733589,65,lift_blue_block_slider,grasp the blue block lying in the cabinet,384,bf5e9f054bf1f3707975ba93eae22cffe1d164b4,65,1
9,train,A,training,39,134,1533348,1557988,1554210,1554274,65,open_drawer,go open the drawer,384,b98c81ce39d4d17fab4df3862030810e0a44c909,65,1
10,train,A,training,41,131,1489331,1493048,1491075,1491116,42,turn_on_led,push the button to turn on the green light,384,8ed1e866d081cdc3cf0796806dc82e23aec47175,42,1
11,train,A,training,48,144,1741071,1769597,1768421,1768485,65,lift_blue_block_drawer,go towards the blue block in the drawer and lift it,384,c273bef3a05f8387d8561e5edac9d512902b88e7,65,1
12,train,A,training,52,133,1502218,1533347,1513324,1513388,65,place_in_slider,put the block in the slider,384,977c97b60e52e95369fafb0244a3efd285ffaf8e,65,1
13,train,A,training,53,133,1502218,1533347,1531094,1531158,65,open_drawer,grasp the drawer handle and open it,384,77582e88f30131327c5b29a6aba6e44f13ff5343,65,1
14,train,A,training,54,115,1309995,1335805,1328915,1328958,44,move_slider_right,grasp the door handle and slide the door to the right,384,2a611a8fb5ad1401ba9546427e6f7bffec6fa4ba,44,1
15,train,A,training,56,143,1709798,1741070,1712581,1712629,49,stack_block,place the block on top of another block,384,40df196037af7aa6b1d906949a577bff224c783e,49,1
16,train,A,training,58,128,1471756,1480172,1479822,1479886,65,stack_block,put the grasped block on top of a block,384,07062d7616c40f0709ccec93e1dd74f4e1d4a953,65,1
17,train,A,training,64,144,1741071,1769597,1748057,1748121,65,unstack_block,unstack the blocks,384,ad05d6595677fd8b2690ffedbddb0c62f691e60e,65,1
18,train,A,training,65,143,1709798,1741070,1738294,1738358,65,turn_off_lightbulb,turn off the yellow light,384,e3db69a952eb342853463d5cb49cac10131199b3,65,1
19,train,A,training,67,144,1741071,1769597,1769475,1769539,65,open_drawer,pull the handle of the drawer,384,8bcd3d19b8d9ea9e80c50bf56b6b0fcc30b4b523,65,1
20,train,A,training,69,118,1337899,1352228,1342758,1342822,65,move_slider_left,"grasp the door handle, then slide the door to the left",384,fcbb69e4e712211f1f5c969731d6ef80ff47ab83,65,1
21,train,A,training,71,135,1557989,1573798,1571200,1571237,38,stack_block,stack the blocks,384,e3571d328ef3d8170968e5b0e70fb70be65f5db6,38,1
22,train,A,training,81,141,1673771,1700474,1699160,1699224,65,move_slider_left,grasp the door handle and move the door to the left,384,fe7b006bc84ad9f47672a8877529f5cecb347efa,65,1
23,train,A,training,89,112,1258977,1287601,1278362,1278426,65,lift_blue_block_drawer,grasp the blue block in the drawer,384,92c79646b5a1e5d3907aeb67d08a733db5ef9eeb,65,1
24,train,A,training,92,137,1605554,1620910,1608543,1608607,65,move_slider_left,move the door all the way to the left,384,9a5f02a05021e34a301ae36b48b3df5f8698903e,65,1
25,train,A,training,94,109,1233060,1248612,1237170,1237234,65,lift_blue_block_table,"grasp the blue block, then lift it up",384,4926663f02a945ebabd0299d368367a5a869695a,65,1
26,train,A,training,100,115,1309995,1335805,1325434,1325498,65,turn_off_lightbulb,turn off the yellow light,384,e3db69a952eb342853463d5cb49cac10131199b3,65,1
27,train,A,training,104,146,1785231,1795044,1791912,1791948,37,place_in_slider,place the object in the sliding cabinet,384,481a4fb641d75bc1aed86406dbe479fd5c6be5a7,37,1
28,train,A,training,105,144,1741071,1769597,1744843,1744907,65,move_slider_right,push the door to the right,384,0190ffb53be0362f077bcb89d5435f0996924943,65,1
29,train,A,training,107,109,1233060,1248612,1238507,1238571,65,place_in_drawer,put the grasped object in the drawer,384,1d644280748615c9639f5d6f3cb88f1a89f73d0b,65,1
