episode_index,position,dataset_index,segment_length,expected_valid_actions,actual_valid_actions,pad_count
0,first,0,43,43,43,57
0,last,42,43,1,1,99
283,first,16835,65,65,65,35
283,last,16899,65,1,1,99
567,first,34095,42,42,42,58
567,last,34136,42,1,1,99
850,first,51035,65,65,65,35
850,last,51099,65,1,1,99
1134,first,68039,65,65,65,35
1134,last,68103,65,1,1,99
1418,first,85404,65,65,65,35
1418,last,85468,65,1,1,99
1701,first,102138,65,65,65,35
1701,last,102202,65,1,1,99
1985,first,119743,65,65,65,35
1985,last,119807,65,1,1,99
2269,first,136938,65,65,65,35
2269,last,137002,65,1,1,99
2552,first,154085,65,65,65,35
2552,last,154149,65,1,1,99
2836,first,171225,65,65,65,35
2836,last,171289,65,1,1,99
3119,first,188192,42,42,42,58
3119,last,188233,42,1,1,99
3403,first,205577,40,40,40,60
3403,last,205616,40,1,1,99
3687,first,222456,65,65,65,35
3687,last,222520,65,1,1,99
3970,first,239567,65,65,65,35
3970,last,239631,65,1,1,99
4254,first,256695,65,65,65,35
4254,last,256759,65,1,1,99
4538,first,273627,65,65,65,35
4538,last,273691,65,1,1,99
4821,first,290528,65,65,65,35
4821,last,290592,65,1,1,99
5105,first,307134,65,65,65,35
5105,last,307198,65,1,1,99
5389,first,324504,65,65,65,35
5389,last,324568,65,1,1,99
5672,first,341553,65,65,65,35
5672,last,341617,65,1,1,99
5956,first,358528,46,46,46,54
5956,last,358573,46,1,1,99
6239,first,375567,65,65,65,35
6239,last,375631,65,1,1,99
6523,first,392200,65,65,65,35
6523,last,392264,65,1,1,99
6807,first,409648,65,65,65,35
6807,last,409712,65,1,1,99
7090,first,426759,65,65,65,35
7090,last,426823,65,1,1,99
7374,first,443758,65,65,65,35
7374,last,443822,65,1,1,99
7658,first,460722,65,65,65,35
7658,last,460786,65,1,1,99
7941,first,477499,43,43,43,57
7941,last,477541,43,1,1,99
8225,first,494527,65,65,65,35
8225,last,494591,65,1,1,99
8509,first,511277,65,65,65,35
8509,last,511341,65,1,1,99
8792,first,528049,65,65,65,35
8792,last,528113,65,1,1,99
9076,first,545354,65,65,65,35
9076,last,545418,65,1,1,99
9359,first,562318,65,65,65,35
9359,last,562382,65,1,1,99
9643,first,579512,49,49,49,51
9643,last,579560,49,1,1,99
9927,first,596350,65,65,65,35
9927,last,596414,65,1,1,99
10210,first,613571,65,65,65,35
10210,last,613635,65,1,1,99
10494,first,630754,35,35,35,65
10494,last,630788,35,1,1,99
10778,first,647705,65,65,65,35
10778,last,647769,65,1,1,99
11061,first,664599,65,65,65,35
11061,last,664663,65,1,1,99
11345,first,681115,65,65,65,35
11345,last,681179,65,1,1,99
11629,first,698515,39,39,39,61
11629,last,698553,39,1,1,99
11912,first,715109,65,65,65,35
11912,last,715173,65,1,1,99
12196,first,732123,65,65,65,35
12196,last,732187,65,1,1,99
12479,first,749127,44,44,44,56
12479,last,749170,44,1,1,99
12763,first,766224,65,65,65,35
12763,last,766288,65,1,1,99
13047,first,782948,37,37,37,63
13047,last,782984,37,1,1,99
13330,first,799836,65,65,65,35
13330,last,799900,65,1,1,99
13614,first,817049,65,65,65,35
13614,last,817113,65,1,1,99
13898,first,833872,65,65,65,35
13898,last,833936,65,1,1,99
14181,first,851042,65,65,65,35
14181,last,851106,65,1,1,99
14465,first,867342,65,65,65,35
14465,last,867406,65,1,1,99
14749,first,884415,65,65,65,35
14749,last,884479,65,1,1,99
15032,first,901165,40,40,40,60
15032,last,901204,40,1,1,99
15316,first,918214,65,65,65,35
15316,last,918278,65,1,1,99
15599,first,935253,65,65,65,35
15599,last,935317,65,1,1,99
15883,first,951950,65,65,65,35
15883,last,952014,65,1,1,99
16167,first,969298,65,65,65,35
16167,last,969362,65,1,1,99
16450,first,986241,65,65,65,35
16450,last,986305,65,1,1,99
16734,first,1003524,65,65,65,35
16734,last,1003588,65,1,1,99
17018,first,1020553,65,65,65,35
17018,last,1020617,65,1,1,99
17301,first,1037646,65,65,65,35
17301,last,1037710,65,1,1,99
17585,first,1054590,65,65,65,35
17585,last,1054654,65,1,1,99
17869,first,1071678,65,65,65,35
17869,last,1071742,65,1,1,99
