episode_index,split,environment,source_split,raw_segment_id,raw_episode_id,raw_episode_start,raw_episode_end,segment_start,segment_end,segment_length,task_name,language_text,language_embedding_dim,language_embedding_sha1,max_valid_actions_from_first_frame,requires_action_padding_for_chunk
0,train,B,training,2,62,500844,532402,510341,510405,65,move_slider_left,slide the door to the left,384,5dc974e09fecead3313fdd7aeccf69d8edf96759,65,1
1,train,B,training,3,32,170104,180357,170122,170186,65,open_drawer,open the drawer,384,6d8036affe0fe40c92d4930906785533e1c2d9ea,65,1
2,train,B,training,4,32,170104,180357,170786,170850,65,turn_on_lightbulb,turn on the yellow lamp,384,384162bcaa274e621082d347d2562bac042441b9,65,1
3,train,B,training,5,57,408002,424674,413465,413505,41,place_in_drawer,place the grasped object in the drawer,384,307c87fbd8035964dc25aa66d2b5cc28a5ff5a6d,41,1
4,train,B,training,9,58,424675,435434,426910,426974,65,turn_off_lightbulb,move down the switch,384,3aaf784c350a2419a0f1fffd995aaa68f5cdcc4f,65,1
5,train,B,training,11,63,532403,565777,558179,558243,65,place_in_drawer,put the grasped object in the drawer,384,1d644280748615c9639f5d6f3cb88f1a89f73d0b,65,1
6,train,B,training,14,55,356202,398271,366418,366454,37,place_in_slider,put the block in the slider,384,977c97b60e52e95369fafb0244a3efd285ffaf8e,37,1
7,train,B,training,21,53,322958,349180,343274,343338,65,move_slider_left,move the sliding door to the left,384,2e98f2b5665de1da065cf8f197c0f0335be91ec0,65,1
8,train,B,training,23,47,267917,272232,268458,268522,65,unstack_block,remove the top block,384,b19d8aaaeec7b94ea355464fe55bb4d1770e11f8,65,1
9,train,B,training,26,53,322958,349180,327372,327436,65,lift_red_block_drawer,lift the red block lying in the drawer,384,ceb03d23189cf49cc95304b7127b1d9730a7d46d,65,1
10,train,B,training,31,38,212691,218800,213579,213619,41,place_in_slider,place the block in the sliding cabinet,384,f157190b0d3a70945b0b94d310e9d1ac5458143e,41,1
11,train,B,training,40,55,356202,398271,365243,365307,65,open_drawer,pull the handle of the drawer,384,8bcd3d19b8d9ea9e80c50bf56b6b0fcc30b4b523,65,1
12,train,B,training,45,0,0,3686,2893,2957,65,turn_on_lightbulb,toggle the light switch to turn on the yellow light,384,1a9ca7a0ea1ea1c8969bfc1c4de799519ba836d9,65,1
13,train,B,training,46,55,356202,398271,377929,377993,65,lift_blue_block_drawer,grasp the blue block in the drawer,384,92c79646b5a1e5d3907aeb67d08a733db5ef9eeb,65,1
14,train,B,training,49,23,103606,114063,110523,110587,65,lift_red_block_drawer,lift the red block in the drawer,384,a37d9d013577b9d5be8075cbaa98f26da84fac97,65,1
15,train,B,training,55,30,162212,168817,168430,168494,65,turn_on_lightbulb,move the light switch to turn on the yellow light,384,38bf85e1c48faa44e017013eccaddae49957edea,65,1
16,train,B,training,59,48,272233,289411,279699,279763,65,rotate_red_block_left,take the red block and turn it left,384,d55eebbbab34d1898db8fccacd253916a5fdb7bc,65,1
17,train,B,training,60,55,356202,398271,376473,376537,65,turn_on_led,turn on the led light,384,d8e18cc33e33c2bd1f8ddbfd1c5f077587e845d0,65,1
18,train,B,training,62,58,424675,435434,424921,424985,65,turn_on_led,toggle the button to turn on the green light,384,30a49fd7433309cba05b6eeebdf43b2f826f62de,65,1
19,train,B,training,63,44,244739,265077,257858,257922,65,close_drawer,close the drawer,384,11699185b0bcb9b0aa5bb8f3e08d4263893c2efa,65,1
20,train,B,training,70,24,114064,123654,115040,115104,65,turn_on_lightbulb,turn on the yellow lamp,384,384162bcaa274e621082d347d2562bac042441b9,65,1
21,train,B,training,76,19,85088,94884,90670,90734,65,move_slider_left,"grasp the door handle, then slide the door to the left",384,fcbb69e4e712211f1f5c969731d6ef80ff47ab83,65,1
22,train,B,training,77,44,244739,265077,253079,253143,65,move_slider_left,push the door to the left side,384,019e7f922c1744e84b2689f2af331479d775b307,65,1
23,train,B,training,79,44,244739,265077,253312,253348,37,place_in_drawer,put the block in the drawer,384,ca657248b0be5cc8e78ed3873073fcf2281f5d36,37,1
24,train,B,training,85,61,456757,500843,471231,471278,48,push_into_drawer,sweep the block into the drawer,384,f4aedb67519e045bb416f7434f0beaefb31181b6,48,1
25,train,B,training,86,59,435435,451284,439857,439921,65,lift_pink_block_drawer,go towards the pink block in the drawer and pick it up,384,9727816d61851e8433f080a4e36536ebf7f73299,65,1
26,train,B,training,87,50,291366,300898,299751,299795,45,push_blue_block_left,slide left the blue block,384,3de3f3a5483952ab233ff0baf2d15917c527f5d4,45,1
27,train,B,training,90,10,41202,49469,43162,43226,65,rotate_blue_block_right,take the blue block and rotate it right,384,bf42fb3183fbde71ca0e26861b90103807857a01,65,1
28,train,B,training,93,50,291366,300898,298513,298558,46,lift_pink_block_slider,pick up the pink block from the sliding cabinet,384,bc44eb597b6550e9249854c363c77216e7760294,46,1
29,train,B,training,96,42,233104,239942,233377,233441,65,lift_blue_block_table,grasp the blue block and lift it up,384,ecc936adabfacb0a5c5d903315f201b5a0544cb3,65,1
30,train,B,training,97,34,184482,192092,191862,191926,65,close_drawer,"grasp the drawer handle, then close it",384,03e92ca80b0a59107c2240c97ac0fe94d5d37455,65,1
31,train,B,training,101,9,38196,41201,39618,39682,65,lift_pink_block_slider,pick up the pink block in the sliding cabinet,384,888b52dd1ef48b1356e5363ea7c87c66ddb01975,65,1
