environment,run_index,gripper_state,state_value,run_length_frames
B,0,open,1.0,21
B,1,close,-1.0,99
B,2,open,1.0,57
B,3,close,-1.0,34
B,4,open,1.0,47
B,5,close,-1.0,40
B,6,open,1.0,132
B,7,close,-1.0,46
B,8,open,1.0,50
B,9,close,-1.0,33
B,10,open,1.0,22
B,11,close,-1.0,40
B,12,open,1.0,25
B,13,close,-1.0,59
B,14,open,1.0,45
B,15,close,-1.0,58
B,16,open,1.0,13
B,17,close,-1.0,57
B,18,open,1.0,44
B,19,close,-1.0,53
B,20,open,1.0,21
B,21,close,-1.0,43
B,22,open,1.0,75
B,23,close,-1.0,51
B,24,open,1.0,23
B,25,close,-1.0,7
B,26,open,1.0,37
B,27,close,-1.0,39
B,28,open,1.0,40
B,29,close,-1.0,29
B,30,open,1.0,40
B,31,close,-1.0,68
B,32,open,1.0,23
B,33,close,-1.0,35
B,34,open,1.0,24
B,35,close,-1.0,50
B,36,open,1.0,43
B,37,close,-1.0,48
B,38,open,1.0,47
B,39,close,-1.0,54
B,40,open,1.0,52
B,41,close,-1.0,36
B,42,open,1.0,17
B,43,close,-1.0,52
B,44,open,1.0,30
B,45,close,-1.0,62
B,46,open,1.0,25
B,47,close,-1.0,37
B,48,open,1.0,152
B,49,close,-1.0,98
B,50,open,1.0,54
B,51,close,-1.0,59
B,52,open,1.0,11
B,53,close,-1.0,37
B,54,open,1.0,38
B,55,close,-1.0,42
B,56,open,1.0,25
B,57,close,-1.0,39
B,58,open,1.0,36
B,59,close,-1.0,70
B,60,open,1.0,24
B,61,close,-1.0,49
B,62,open,1.0,21
B,63,close,-1.0,55
B,64,open,1.0,24
B,65,close,-1.0,39
B,66,open,1.0,57
B,67,close,-1.0,36
B,68,open,1.0,32
B,69,close,-1.0,50
B,70,open,1.0,37
B,71,close,-1.0,55
B,72,open,1.0,29
B,73,close,-1.0,42
B,74,open,1.0,119
B,75,close,-1.0,55
B,76,open,1.0,52
B,77,close,-1.0,39
B,78,open,1.0,49
B,79,close,-1.0,43
B,80,open,1.0,92
B,81,close,-1.0,40
B,82,open,1.0,32
B,83,close,-1.0,84
B,84,open,1.0,68
B,85,close,-1.0,52
B,86,open,1.0,22
B,87,close,-1.0,42
B,88,open,1.0,171
B,89,close,-1.0,71
B,90,open,1.0,61
B,91,close,-1.0,39
B,92,open,1.0,54
B,93,close,-1.0,41
B,94,open,1.0,19
B,95,close,-1.0,59
B,96,open,1.0,28
B,97,close,-1.0,52
B,98,open,1.0,63
B,99,close,-1.0,44
B,100,open,1.0,34
B,101,close,-1.0,28
B,102,open,1.0,50
B,103,close,-1.0,36
B,104,open,1.0,20
B,105,close,-1.0,45
B,106,open,1.0,29
B,107,close,-1.0,37
B,108,open,1.0,26
B,109,close,-1.0,65
B,110,open,1.0,19
B,111,close,-1.0,42
B,112,open,1.0,20
B,113,close,-1.0,31
B,114,open,1.0,31
B,115,close,-1.0,47
B,116,open,1.0,41
B,117,close,-1.0,27
B,118,open,1.0,59
B,119,close,-1.0,38
B,120,open,1.0,19
B,121,close,-1.0,61
B,122,open,1.0,105
B,123,close,-1.0,40
B,124,open,1.0,58
B,125,close,-1.0,40
B,126,open,1.0,43
B,127,close,-1.0,35
B,128,open,1.0,12
B,129,close,-1.0,32
B,130,open,1.0,31
B,131,close,-1.0,46
B,132,open,1.0,44
B,133,close,-1.0,44
B,134,open,1.0,75
B,135,close,-1.0,39
B,136,open,1.0,63
B,137,close,-1.0,75
B,138,open,1.0,71
B,139,close,-1.0,46
B,140,open,1.0,61
B,141,close,-1.0,46
B,142,open,1.0,30
B,143,close,-1.0,47
B,144,open,1.0,51
B,145,close,-1.0,38
B,146,open,1.0,46
B,147,close,-1.0,69
B,148,open,1.0,85
B,149,close,-1.0,70
B,150,open,1.0,67
B,151,close,-1.0,43
B,152,open,1.0,56
B,153,close,-1.0,36
B,154,open,1.0,11
B,155,close,-1.0,66
B,156,open,1.0,13
B,157,close,-1.0,63
B,158,open,1.0,13
B,159,close,-1.0,44
B,160,open,1.0,32
B,161,close,-1.0,30
B,162,open,1.0,23
B,163,close,-1.0,37
B,164,open,1.0,66
B,165,close,-1.0,52
B,166,open,1.0,51
B,167,close,-1.0,41
B,168,open,1.0,61
B,169,close,-1.0,46
B,170,open,1.0,161
B,171,close,-1.0,41
B,172,open,1.0,67
B,173,close,-1.0,48
B,174,open,1.0,148
B,175,close,-1.0,29
B,176,open,1.0,50
B,177,close,-1.0,34
B,178,open,1.0,49
B,179,close,-1.0,52
B,180,open,1.0,72
B,181,close,-1.0,41
B,182,open,1.0,43
B,183,close,-1.0,40
B,184,open,1.0,31
B,185,close,-1.0,45
B,186,open,1.0,15
B,187,close,-1.0,77
B,188,open,1.0,35
B,189,close,-1.0,59
B,190,open,1.0,29
B,191,close,-1.0,41
B,192,open,1.0,37
B,193,close,-1.0,61
B,194,open,1.0,37
B,195,close,-1.0,35
B,196,open,1.0,144
B,197,close,-1.0,39
B,198,open,1.0,72
B,199,close,-1.0,73
B,200,open,1.0,67
B,201,close,-1.0,41
B,202,open,1.0,13
B,203,close,-1.0,30
B,204,open,1.0,108
B,205,close,-1.0,67
B,206,open,1.0,71
B,207,close,-1.0,54
B,208,open,1.0,62
B,209,close,-1.0,39
B,210,open,1.0,169
B,211,close,-1.0,33
B,212,open,1.0,60
B,213,close,-1.0,35
B,214,open,1.0,20
B,215,close,-1.0,64
B,216,open,1.0,17
B,217,close,-1.0,47
B,218,open,1.0,34
B,219,close,-1.0,47
B,220,open,1.0,69
B,221,close,-1.0,28
B,222,open,1.0,11
B,223,close,-1.0,58
B,224,open,1.0,10
B,225,close,-1.0,41
B,226,open,1.0,75
B,227,close,-1.0,34
B,228,open,1.0,27
B,229,close,-1.0,42
B,230,open,1.0,57
B,231,close,-1.0,35
