bin,start_delta_index,end_delta_index,dx_mean_abs_delta,dy_mean_abs_delta,dz_mean_abs_delta,droll_mean_abs_delta,dpitch_mean_abs_delta,dyaw_mean_abs_delta,gripper_mean_abs_delta
0,0,16084,0.040497603524348565,0.03449273184571652,0.04325300345525583,0.06795568010620064,0.0538549137713458,0.05745042696827147,0.045262372544143246
1,16084,32169,0.038623252727299544,0.03676257216729391,0.044439800229921986,0.07085530755798278,0.056163209316329225,0.05895446248177226,0.04476220080820641
2,32169,48254,0.04271749931881398,0.0384180470477555,0.04497243758881053,0.08272762120516564,0.06037507880274991,0.0663190432467132,0.04811936586882189
3,48254,64339,0.04274240827961524,0.040642324284411134,0.04851530106752015,0.09118284681413451,0.06861482117265484,0.06961507165265374,0.04961143922909543
4,64339,80424,0.046407285139359114,0.03964112726090577,0.04416038843042201,0.08001931395488031,0.0648599159354823,0.06748130964034224,0.05197388871619521
5,80424,96509,0.04377940681444754,0.03785009969115724,0.04487825941174556,0.08749728692275231,0.06619388189126695,0.07221800867436962,0.04799502642213242
6,96509,112594,0.0478851124122394,0.045440309604503744,0.04863486291282136,0.0946272015551444,0.06879244669673784,0.07402079631785775,0.05470935654336338
7,112594,128678,0.05129312129895829,0.0438873288260727,0.04944789220187511,0.09851434246272087,0.06795524336235974,0.07280470798270755,0.05545884108430739
8,128678,144763,0.056849873888941166,0.045638586723776894,0.05383470351274278,0.09601779065848987,0.07876051008520023,0.08005717304074102,0.05968293441094187
9,144763,160848,0.054376551375117634,0.03985426546363656,0.046797466004642234,0.08577886429204415,0.06811018706398513,0.0734954054091946,0.05520671433012123
10,160848,176933,0.05178305745033859,0.042326155464299076,0.05041152568515303,0.09995918323781176,0.07775132756953539,0.08037927125977212,0.05707180603046316
11,176933,193018,0.05446757221293047,0.04123199334804025,0.04826436817697725,0.08965911157005597,0.06924152344668612,0.07280303592248152,0.058315200497357784
12,193018,209103,0.05506330102005162,0.0454989519276832,0.05448873188905595,0.095664077172162,0.07534241602153886,0.07735032957662286,0.05918557662418402
13,209103,225188,0.05298720041668782,0.04430224065798559,0.04970456869927852,0.09593701948124131,0.07565499895035452,0.07700294744565749,0.05483369599005285
14,225188,241272,0.052275889687785834,0.043784413057839394,0.04989502848516741,0.09560537892333557,0.07872223478007316,0.07888834172144141,0.05881621487192241
15,241272,257357,0.051466476647433534,0.04127412951627403,0.04662561198964834,0.08555706962155048,0.0680908981351364,0.07138326576336042,0.05520671433012123
16,257357,273442,0.048280123061679565,0.03892113677186816,0.04569611459449783,0.07746666644460441,0.06546273424784495,0.06697106210958996,0.05508237488343177
17,273442,289527,0.04898712348594992,0.04110377396840015,0.0477550440448864,0.08095575702719912,0.064514921415521,0.06902354413742344,0.05508237488343177
18,289527,305612,0.04659648794113991,0.03826934262080747,0.045596907983399756,0.08115446097708344,0.06270999402513835,0.06870888432175122,0.05097917314267952
19,305612,321697,0.03589513253491365,0.030772228781107743,0.039335839190510175,0.07118632228573993,0.050181415702757554,0.06111723744769058,0.043270127447932856
20,321697,337782,0.03749927836837943,0.03426169043347704,0.04295604941295316,0.07938036067861666,0.055773069524939864,0.06530747257313758,0.046378613615169414
21,337782,353866,0.03621214661864417,0.03318350604085567,0.040413779845175864,0.06962773041009994,0.0509315781979003,0.060473138036695795,0.046257149962695844
22,353866,369951,0.038670960791891945,0.03667763850323105,0.04331458260053501,0.06983874384576147,0.05362622640244382,0.05889552248660058,0.04886540254895866
23,369951,386036,0.04113490297578988,0.03440213229554867,0.04439274285290111,0.06679259996312205,0.051213403447709374,0.05848871710819146,0.05271992539633199
24,386036,402121,0.03755827237811695,0.03351870979120442,0.040441314220597754,0.06235841459960505,0.049528686112846845,0.05440196936041414,0.048741063102269194
25,402121,418206,0.03609228884255021,0.028904045820229467,0.034809659426498434,0.05455376394963845,0.043146824741558176,0.05128749902900096,0.043270127447932856
26,418206,434291,0.033735879699547416,0.029793529990139667,0.037059839839437635,0.05723369908266896,0.04396147635948944,0.050461275498403055,0.04364314578800124
27,434291,450376,0.03565254651758537,0.03407954869081418,0.0394654904543805,0.058390948054376994,0.047058416473792414,0.05251087983378457,0.04451352191482748
28,450376,466460,0.036376762326411745,0.032067359057035144,0.03684324348483421,0.05820949278359385,0.04647237380326569,0.05184577415951025,0.045884108430738625
29,466460,482545,0.03769806513934666,0.03170029417538686,0.03706276672251284,0.055918731894693686,0.04627963901241202,0.05141484654990513,0.04451352191482748
30,482545,498630,0.034152257333488346,0.030737131604935474,0.038616880470203056,0.052867595510545116,0.043257870184606875,0.04824231111295739,0.046378613615169414
31,498630,514715,0.03494830091453693,0.03409018348200335,0.03843179428918356,0.05523777174902468,0.04352982653044098,0.049193334101000845,0.04476220080820641
