run_index,gripper_state,state_value,run_length_frames
0,open,1.0,66
1,close,-1.0,54
2,open,1.0,53
3,close,-1.0,44
4,open,1.0,20
5,close,-1.0,36
6,open,1.0,48
7,close,-1.0,46
8,open,1.0,74
9,close,-1.0,52
10,open,1.0,55
11,close,-1.0,43
12,open,1.0,127
13,close,-1.0,70
14,open,1.0,45
15,close,-1.0,28
16,open,1.0,27
17,close,-1.0,43
18,open,1.0,11
19,close,-1.0,36
20,open,1.0,11
21,close,-1.0,36
22,open,1.0,46
23,close,-1.0,40
24,open,1.0,87
25,close,-1.0,34
26,open,1.0,17
27,close,-1.0,37
28,open,1.0,14
29,close,-1.0,43
30,open,1.0,13
31,close,-1.0,47
32,open,1.0,34
33,close,-1.0,55
34,open,1.0,83
35,close,-1.0,40
36,open,1.0,62
37,close,-1.0,42
38,open,1.0,67
39,close,-1.0,41
40,open,1.0,56
41,close,-1.0,25
42,open,1.0,34
43,close,-1.0,21
44,open,1.0,25
45,close,-1.0,26
46,open,1.0,67
47,close,-1.0,32
48,open,1.0,66
49,close,-1.0,52
50,open,1.0,59
51,close,-1.0,48
52,open,1.0,12
53,close,-1.0,37
54,open,1.0,18
55,close,-1.0,31
56,open,1.0,30
57,close,-1.0,38
58,open,1.0,13
59,close,-1.0,32
60,open,1.0,34
61,close,-1.0,33
62,open,1.0,53
63,close,-1.0,22
64,open,1.0,19
65,close,-1.0,38
66,open,1.0,81
67,close,-1.0,22
68,open,1.0,29
69,close,-1.0,26
70,open,1.0,61
71,close,-1.0,53
72,open,1.0,65
73,close,-1.0,43
74,open,1.0,49
75,close,-1.0,40
76,open,1.0,60
77,close,-1.0,49
78,open,1.0,68
79,close,-1.0,43
80,open,1.0,56
81,close,-1.0,39
82,open,1.0,46
83,close,-1.0,35
84,open,1.0,54
85,close,-1.0,33
86,open,1.0,53
87,close,-1.0,45
88,open,1.0,37
89,close,-1.0,39
90,open,1.0,23
91,close,-1.0,49
92,open,1.0,45
93,close,-1.0,48
94,open,1.0,49
95,close,-1.0,44
96,open,1.0,52
97,close,-1.0,34
98,open,1.0,50
99,close,-1.0,42
100,open,1.0,34
101,close,-1.0,30
102,open,1.0,50
103,close,-1.0,32
104,open,1.0,30
105,close,-1.0,28
106,open,1.0,47
107,close,-1.0,34
108,open,1.0,45
109,close,-1.0,32
110,open,1.0,53
111,close,-1.0,32
112,open,1.0,108
113,close,-1.0,32
114,open,1.0,86
115,close,-1.0,48
116,open,1.0,22
117,close,-1.0,32
118,open,1.0,56
