episode_index,chunk_index,chunk_size,chunk_length,mean_within_chunk_delta_l2_first6,first_last_delta_l2_first6,boundary_jump_l2_first6
0,0,100,100,0.13525753519542652,0.8660538941555941,nan
0,1,100,100,0.17365463762645109,0.9759459237243985,0.12663223701015627
0,2,100,100,0.16027529778679372,0.8081320731772499,0.0858632718002456
0,3,100,100,0.15707641460885308,1.0900606132859807,0.11644282134073779
0,4,100,100,0.11661764605346266,1.1125428838576241,0.3416978707171209
0,5,100,100,0.1701623117318349,0.4869479045230163,0.6345756940797037
0,6,100,100,0.14676094676181364,0.4465823418551737,0.2918206653161847
0,7,100,100,0.15808041393120517,0.8679083380433669,0.14233591089268224
0,8,100,100,0.18002293473308476,0.9258642240306117,0.08202388936103525
0,9,100,100,0.10959940287604812,0.14588994431170527,0.09750313671842167
0,10,100,100,0.15727697308481456,0.8673521967089904,0.07608075857706559
0,11,100,100,0.1840256487095261,0.4607367161958626,0.2144702304122745
0,12,100,100,0.16103418731381705,0.6225283762507062,0.12866394613773358
0,13,100,100,0.11113563157991457,0.8912044138414633,0.20143283889842384
0,14,100,100,0.1553010799889754,0.3698208463744794,0.2834308825112197
0,15,100,100,0.1371296873383643,0.685980434918864,0.1253191899574329
0,16,100,100,0.14810701246860072,0.6294755317703137,0.3425070986331
0,17,100,100,0.1612658733047476,0.7660315101227878,0.12227941566088317
0,18,100,100,0.14810076090598506,1.5265001344225075,0.2787444099450069
0,19,100,100,0.1490670705542722,0.5780350324744229,0.010494130454675942
0,20,100,100,0.11745676252405145,0.6712462515371058,0.08412736734012363
0,21,100,100,0.11178979018037732,0.6422174947508578,0.07690030078500236
0,22,100,100,0.1404377079925954,0.3543350098748041,0.059511925799293174
0,23,100,100,0.09325393566963493,0.12572257249869562,0.20183543172426532
0,24,100,100,0.10470190013535928,0.46445431070648546,0.14151019175955182
0,25,100,100,0.12867756139246628,1.0348864882499813,0.08766746924975045
0,26,100,100,0.1500458432132173,1.2198960414527302,0.10649064986221847
0,27,100,100,0.19529355480136062,0.7186981135260143,0.09332479575503229
0,28,100,100,0.15510456023391064,0.5433196150043673,0.261444377415281
0,29,100,100,0.15590354434203987,0.3949103278752019,0.1092885636901039
1,30,100,100,0.18702837243840614,1.7210808475465085,nan
1,31,100,100,0.1518501143191019,0.9240440856471617,0.2702484876339098
1,32,100,100,0.12196566117773375,0.5163776196301001,0.15056369112570248
1,33,100,100,0.15525929239243041,1.0385195431881136,0.1359873524799341
1,34,100,100,0.12402450708605288,0.4490925903861347,0.2018485824277825
1,35,100,100,0.1287515744497073,1.0868766816762354,0.18121649259179198
1,36,100,100,0.12566149577782104,0.5121378027961317,0.06173142883443469
1,37,100,100,0.08873155548621543,0.6410277385651509,0.11178884973147465
1,38,100,100,0.11390033200175924,1.236061312105446,0.2148672029323449
1,39,100,100,0.13797116368375098,1.229961848022033,0.19691888550769018
1,40,100,100,0.17899065505813683,0.7749577813277017,0.14351363537824272
1,41,100,100,0.1728605522476194,0.7471205061690898,0.1642305398824755
1,42,100,100,0.1407361071102391,0.8950461804098204,0.19066970764596322
1,43,100,100,0.15590741120509818,1.3534821568511084,0.09393025499472771
1,44,100,100,0.1766714931220184,1.151268031469143,0.26088208890278014
1,45,100,100,0.20439670889907208,0.7944375178690853,0.08635998459273704
1,46,100,48,0.32530539706381323,0.5829459777785154,0.18887992416065744
2,47,100,100,0.1630236470364756,0.403620551580338,nan
2,48,100,100,0.16282879014710136,0.33964986090493565,0.08398335281326831
2,49,100,100,0.19197374740902026,1.062960741045654,0.18223107639355246
2,50,100,100,0.16502103309149727,0.748120972806274,0.15051768360318907
2,51,100,100,0.2644896124285463,0.8478106729842887,0.296824939698177
2,52,100,59,0.14048333312266315,0.4293725625697953,0.14135297690672838
3,53,100,100,0.1391678005571389,0.9863422185003513,nan
3,54,100,100,0.1836454580630248,0.8731124498722151,0.4900845276127956
3,55,100,100,0.12761194669758097,0.4344207382537033,0.09200173105316277
3,56,100,100,0.09988095363583027,0.35517420810112327,0.15730327990093523
3,57,100,100,0.13955820306559114,0.974678113398396,0.06676078557272533
3,58,100,100,0.14254499209796137,1.180661590954282,0.19869729101303743
3,59,100,100,0.18029597760475333,0.5389813733149743,0.09908278169418096
3,60,100,100,0.14184192141924698,0.47695835934681946,0.16193965014972866
3,61,100,100,0.13058750069530575,0.6777995740435303,0.11889342043917638
3,62,100,100,0.16959820578221393,1.042602378599336,0.46932727367440774
3,63,100,100,0.15333383433354297,0.6717958199478554,0.1417285979171603
3,64,100,100,0.15331795307565388,0.9519296884023367,0.2597693586526638
3,65,100,100,0.12961771416046872,0.7221485539356175,0.1344424603868617
3,66,100,100,0.12115092529193709,0.34359405667705883,0.05826628218966169
3,67,100,100,0.14567028429988854,0.7083656695593288,0.13117262444915545
3,68,100,100,0.16559469682769948,0.5559072316497197,0.12386768084855504
3,69,100,100,0.20899883952146134,0.20509798847171795,0.10527276930561313
3,70,100,100,0.13275562184617679,0.6156964911510371,0.2524294046072042
3,71,100,100,0.14120249556541556,0.4823533045675216,0.12769993643783872
3,72,100,100,0.1488326021270924,0.35917694883648077,0.11093702885908624
3,73,100,100,0.1710076479948893,0.5639139389522754,0.09945330940830241
3,74,100,100,0.14103462453084184,0.30395626064014747,0.1762220293799251
