bin,start_delta_index,end_delta_index,dx_mean_abs_delta,dy_mean_abs_delta,dz_mean_abs_delta,droll_mean_abs_delta,dpitch_mean_abs_delta,dyaw_mean_abs_delta,gripper_mean_abs_delta
0,0,5352,0.04026859594785122,0.029698644347066202,0.04232593935548843,0.06960080944202542,0.05359634041141537,0.05814348530609716,0.04671150971599402
1,5352,10704,0.04133573326482281,0.036185469765132844,0.040299373341068694,0.06298366126227736,0.05467454401566192,0.058736120993444614,0.04596412556053812
2,10704,16057,0.04116878145682609,0.03468075520676985,0.04408993098655481,0.07912247299488197,0.056476273187342864,0.06278171691655869,0.04857089482533159
3,16057,21409,0.0427444386991578,0.04145227195367733,0.0494366925772364,0.09273682925343123,0.0639425421976996,0.0673368336496062,0.04633781763826607
4,21409,26762,0.04488813646445691,0.04218232964378788,0.048444841274016985,0.08271329603709458,0.06624233024731868,0.06956426295791279,0.053427984307864745
5,26762,32114,0.04715274945360537,0.03569986762321128,0.04469597255270347,0.08352650519618693,0.06977620737011836,0.0738388295383341,0.0515695067264574
6,32114,37467,0.04705486061087611,0.04626763978767385,0.04847097702959352,0.09047211363125088,0.06702391633851291,0.07116061227523071,0.05380160657575191
7,37467,42819,0.05259648312603898,0.04406582324345939,0.05106546525003367,0.0956285662632921,0.06737525340363411,0.07093452658814786,0.0601644245142003
8,42819,48172,0.054622696537341094,0.04502362338605593,0.05356687979159609,0.09166319373749512,0.07634557487696059,0.07900164902862869,0.05977956286194657
9,48172,53524,0.057175823470114025,0.042106085682669075,0.049766888166354446,0.09028834969880437,0.07210023325599274,0.07805291488563944,0.06053811659192825
10,53524,58877,0.053349046698671077,0.044671096170858154,0.053582114942492015,0.10414121109420758,0.08180168319490314,0.08300412889923962,0.058658696058285074
11,58877,64229,0.04887101937695815,0.044033009850827184,0.04894851622241844,0.08498861569499802,0.06953851552727444,0.07045245297818112,0.05904334828101644
12,64229,69582,0.059190983531550175,0.050275834613502206,0.05822281438396092,0.10145302588365439,0.08237821217406247,0.08122023179483337,0.0627685410050439
13,69582,74934,0.05637678478068758,0.04602401315063241,0.05431390609486486,0.09895031300442449,0.07719445678792036,0.07816312373758438,0.05605381165919283
14,74934,80287,0.05349307322403871,0.04934054587695669,0.053494202161385625,0.09829257777244567,0.07726061585689764,0.07855848137674258,0.06351578554081823
15,80287,85639,0.04656547102936766,0.04174163167970324,0.0458402300932869,0.08547775662645066,0.06795954263861927,0.06992937358442661,0.052316890881913304
16,85639,90992,0.04887518739362688,0.03890515627024054,0.045981338745970886,0.08356735512721238,0.06971858032854805,0.07289815256524165,0.05492247337941341
17,90992,96344,0.049049179939978246,0.04243003254032782,0.044866120600879154,0.07875189695343758,0.06378025645640516,0.06732187645440299,0.05343796711509716
18,96344,101697,0.043216676865042575,0.034258223371949274,0.041643047686506104,0.07466672954317126,0.05373144412590635,0.06256991393117846,0.04670278348589576
19,101697,107049,0.0353443420980945,0.03446208763057767,0.04585220864932851,0.07850293083682795,0.05426680618625148,0.06281463850027866,0.04708520179372197
20,107049,112402,0.035431081128090305,0.03583839830706451,0.0421565733579434,0.07037339540648492,0.0539437756983406,0.06103339176078114,0.04371380534279843
21,112402,117754,0.03660147431226843,0.032301563809107287,0.03902369252706338,0.06676583454193442,0.05351990491440507,0.058536438766286704,0.04596412556053812
22,117754,123107,0.035258893584578184,0.03606266942611248,0.04365651795092073,0.06900192047921697,0.05178928221147704,0.0568365284621657,0.04819727255744442
23,123107,128459,0.04360358719050014,0.03364593270675658,0.04004613395160971,0.06395524106107174,0.04854137914345683,0.05631586790535133,0.05194319880418535
24,128459,133812,0.037159249140282964,0.03579737184264968,0.039819238166226796,0.06503733459258557,0.05016394388926077,0.056656489055623316,0.04707640575378293
25,133812,139164,0.03592432658262654,0.032398420146671075,0.03636815533452975,0.05521480554914168,0.04595496436774258,0.0511470223637872,0.04446935724962631
26,139164,144517,0.03526958288272048,0.030963123450173834,0.038553654643804225,0.05748498091818354,0.045980825887086546,0.05063227207538372,0.04558191668223426
27,144517,149869,0.037991426236588965,0.032688017371163475,0.037769124107237186,0.057766974149888184,0.04603594397611882,0.051507585470504456,0.04671150971599402
28,149869,155222,0.036989164022851045,0.03352340247323999,0.036084371153186405,0.05499794113431414,0.04542611659425589,0.05284002751500224,0.04483467214645993
29,155222,160574,0.03669481208028388,0.023392322046382672,0.042113613188623736,0.048743643424813854,0.04581176798959076,0.048794710681986694,0.05007473841554559
30,160574,165927,0.03642739870204438,0.03351381044042062,0.04044784498611816,0.05838671470369305,0.04728407879369285,0.05274322658344339,0.04857089482533159
31,165927,171279,0.0354761512857694,0.03373333862481204,0.03764750007725639,0.05705451063511888,0.04284818419708813,0.04831606700210861,0.044095665171898356
32,171279,176632,0.039467147173219586,0.033402116208475656,0.04171451260507904,0.06433086686255042,0.04656677401651046,0.05063901694361118,0.04707640575378293
33,176632,181984,0.03880247165185069,0.0345576761261077,0.036357751674750145,0.05724940436704301,0.04304088097333201,0.053008168264846,0.042227204783258594
34,181984,187337,0.044512173523351975,0.0306447845037345,0.03659213176071732,0.07042604367659465,0.04926542444243745,0.059485624273097,0.0418456940033626
35,187337,192689,0.039921708515246165,0.032151869979694235,0.039489650738722834,0.07490800522004763,0.05176209695658108,0.059473675897511374,0.03886397608370702
36,192689,198042,0.03618776620228457,0.025692669436543667,0.034124937186943496,0.07394277078120497,0.049718436699187886,0.05660423296873005,0.03549411544928078
