experiment,condition,phase,step,val_action_l1,train_action_l1,checkpoint,checkpoint_exists
act_ABC,full_abc,task2,10000,0.5697943102568388,0.6764777898788452,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC/20260605_072243_act_ABC_full_gpu1/checkpoints/step_00010000,True
act_ABC,full_abc,task2,20000,0.5601941826753318,0.6520108580589294,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC/20260605_072243_act_ABC_full_gpu1/checkpoints/step_00020000,True
act_ABC,full_abc,task2,30000,0.5565027287229896,0.6264495253562927,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC/20260605_072243_act_ABC_full_gpu1/checkpoints/step_00030000,True
act_ABC,full_abc,task2,40000,0.5673248842358589,0.6134142279624939,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC/20260605_072243_act_ABC_full_gpu1/checkpoints/step_00040000,True
act_ABC,full_abc,task2,50000,0.5588982370682061,0.6003854274749756,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC/20260605_072243_act_ABC_full_gpu1/checkpoints/step_00050000,True
act_ABC,full_abc,task2,60000,0.5694809868000448,0.6264110207557678,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC/20260605_072243_act_ABC_full_gpu1/checkpoints/step_00060000,True
act_ABC,full_abc,task2,70000,0.5714977104216814,0.6472594738006592,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC/20260605_072243_act_ABC_full_gpu1/checkpoints/step_00070000,True
act_ABC,full_abc,task2,80000,0.5773697872646153,0.5812982320785522,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC/20260605_072243_act_ABC_full_gpu1/checkpoints/step_00080000,True
act_ABC,full_abc,task2,90000,0.5838665794581175,0.5833063125610352,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC/20260605_072243_act_ABC_full_gpu1/checkpoints/step_00090000,True
act_ABC,full_abc,task2,100000,0.5810228162445128,0.5028818249702454,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC/20260605_072243_act_ABC_full_gpu1/checkpoint,True
act_ABC_size_matched,size_matched,task2,10000,0.5735606364905834,0.62890625,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_size_matched/20260605_072743_act_ABC_size_matched_full_gpu2/checkpoints/step_00010000,True
act_ABC_size_matched,size_matched,task2,20000,0.5804486949928105,0.60176020860672,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_size_matched/20260605_072743_act_ABC_size_matched_full_gpu2/checkpoints/step_00020000,True
act_ABC_size_matched,size_matched,task2,30000,0.5797247951850295,0.57124263048172,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_size_matched/20260605_072743_act_ABC_size_matched_full_gpu2/checkpoints/step_00030000,True
act_ABC_size_matched,size_matched,task2,40000,0.6010589962825179,0.5712049603462219,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_size_matched/20260605_072743_act_ABC_size_matched_full_gpu2/checkpoints/step_00040000,True
act_ABC_size_matched,size_matched,task2,50000,0.5991718648001552,0.505908191204071,/EXT_DISK/users/zengzixuan/calvin_runs/act_ABC_size_matched/20260605_072743_act_ABC_size_matched_full_gpu2/checkpoints/step_00050000,True
