model,display_name,sequence_idx,successful_subtasks,sequence
act_lang_B_100k,ACT-Lang-B 100k,1,0,rotate_blue_block_right -> move_slider_right -> lift_red_block_slider -> place_in_slider -> turn_off_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,2,0,turn_off_led -> push_into_drawer -> lift_blue_block_drawer -> place_in_slider -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,3,0,lift_pink_block_slider -> place_in_slider -> open_drawer -> rotate_red_block_right -> lift_red_block_table
act_lang_B_100k,ACT-Lang-B 100k,4,0,rotate_blue_block_right -> lift_pink_block_table -> place_in_slider -> move_slider_left -> open_drawer
act_lang_B_100k,ACT-Lang-B 100k,5,1,open_drawer -> lift_pink_block_table -> place_in_slider -> turn_on_lightbulb -> rotate_blue_block_left
act_lang_B_100k,ACT-Lang-B 100k,6,0,push_blue_block_left -> close_drawer -> lift_red_block_slider -> place_in_slider -> turn_off_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,7,0,open_drawer -> rotate_red_block_right -> turn_on_led -> lift_pink_block_table -> stack_block
act_lang_B_100k,ACT-Lang-B 100k,8,0,push_pink_block_right -> lift_pink_block_table -> place_in_slider -> push_into_drawer -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,9,2,open_drawer -> push_red_block_right -> move_slider_left -> lift_pink_block_slider -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,10,1,push_red_block_left -> lift_blue_block_table -> place_in_slider -> turn_on_lightbulb -> move_slider_right
act_lang_B_100k,ACT-Lang-B 100k,11,0,rotate_blue_block_left -> lift_blue_block_table -> place_in_drawer -> move_slider_right -> turn_off_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,12,0,lift_pink_block_slider -> place_in_slider -> turn_on_lightbulb -> rotate_blue_block_right -> open_drawer
act_lang_B_100k,ACT-Lang-B 100k,13,0,move_slider_left -> rotate_red_block_left -> turn_off_led -> lift_pink_block_table -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,14,0,turn_on_led -> close_drawer -> push_red_block_right -> lift_red_block_table -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,15,0,lift_red_block_slider -> stack_block -> move_slider_left -> turn_off_led -> open_drawer
act_lang_B_100k,ACT-Lang-B 100k,16,0,move_slider_left -> push_pink_block_left -> open_drawer -> turn_on_lightbulb -> lift_blue_block_table
act_lang_B_100k,ACT-Lang-B 100k,17,1,push_red_block_left -> lift_pink_block_slider -> stack_block -> turn_off_led -> open_drawer
act_lang_B_100k,ACT-Lang-B 100k,18,1,push_red_block_left -> move_slider_right -> lift_blue_block_slider -> place_in_slider -> turn_on_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,19,0,turn_on_lightbulb -> push_red_block_right -> move_slider_left -> lift_red_block_table -> stack_block
act_lang_B_100k,ACT-Lang-B 100k,20,0,move_slider_left -> lift_red_block_table -> place_in_slider -> turn_on_lightbulb -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,21,1,open_drawer -> turn_on_lightbulb -> push_red_block_left -> move_slider_left -> push_into_drawer
act_lang_B_100k,ACT-Lang-B 100k,22,0,move_slider_right -> turn_off_lightbulb -> lift_pink_block_table -> place_in_drawer -> lift_pink_block_drawer
act_lang_B_100k,ACT-Lang-B 100k,23,0,rotate_pink_block_right -> open_drawer -> lift_blue_block_table -> place_in_slider -> turn_off_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,24,0,turn_on_led -> move_slider_left -> lift_blue_block_table -> stack_block -> unstack_block
act_lang_B_100k,ACT-Lang-B 100k,25,0,rotate_blue_block_right -> open_drawer -> turn_off_led -> lift_blue_block_table -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,26,0,lift_blue_block_slider -> stack_block -> turn_off_led -> unstack_block -> push_blue_block_left
act_lang_B_100k,ACT-Lang-B 100k,27,0,push_blue_block_right -> open_drawer -> lift_pink_block_slider -> place_in_slider -> push_into_drawer
act_lang_B_100k,ACT-Lang-B 100k,28,0,push_red_block_right -> turn_on_lightbulb -> push_into_drawer -> move_slider_left -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,29,0,turn_off_lightbulb -> rotate_blue_block_left -> move_slider_left -> open_drawer -> lift_red_block_table
act_lang_B_100k,ACT-Lang-B 100k,30,0,lift_red_block_table -> stack_block -> unstack_block -> open_drawer -> turn_on_led
act_lang_B_100k,ACT-Lang-B 100k,31,0,lift_blue_block_table -> place_in_drawer -> push_red_block_right -> close_drawer -> turn_off_led
act_lang_B_100k,ACT-Lang-B 100k,32,0,lift_pink_block_table -> place_in_slider -> push_into_drawer -> close_drawer -> turn_off_led
act_lang_B_100k,ACT-Lang-B 100k,33,2,rotate_pink_block_left -> lift_pink_block_table -> stack_block -> unstack_block -> turn_off_led
act_lang_B_100k,ACT-Lang-B 100k,34,0,turn_off_led -> open_drawer -> push_pink_block_left -> lift_blue_block_table -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,35,0,move_slider_right -> push_blue_block_left -> open_drawer -> lift_red_block_table -> stack_block
act_lang_B_100k,ACT-Lang-B 100k,36,2,lift_red_block_slider -> place_in_slider -> move_slider_right -> push_into_drawer -> turn_off_led
act_lang_B_100k,ACT-Lang-B 100k,37,0,move_slider_right -> turn_off_lightbulb -> lift_pink_block_slider -> place_in_slider -> push_red_block_right
act_lang_B_100k,ACT-Lang-B 100k,38,0,turn_off_lightbulb -> push_red_block_right -> push_into_drawer -> move_slider_left -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,39,1,open_drawer -> move_slider_right -> push_blue_block_right -> lift_blue_block_table -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,40,0,turn_on_led -> rotate_pink_block_right -> move_slider_right -> close_drawer -> lift_pink_block_table
act_lang_B_100k,ACT-Lang-B 100k,41,2,move_slider_right -> close_drawer -> push_pink_block_left -> lift_pink_block_table -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,42,0,move_slider_right -> push_into_drawer -> turn_off_led -> lift_pink_block_drawer -> place_in_drawer
act_lang_B_100k,ACT-Lang-B 100k,43,0,move_slider_left -> push_pink_block_left -> lift_blue_block_slider -> place_in_slider -> turn_off_led
act_lang_B_100k,ACT-Lang-B 100k,44,0,rotate_pink_block_right -> lift_pink_block_table -> place_in_slider -> open_drawer -> lift_blue_block_slider
act_lang_B_100k,ACT-Lang-B 100k,45,1,lift_blue_block_table -> place_in_slider -> turn_on_led -> rotate_pink_block_right -> lift_red_block_slider
act_lang_B_100k,ACT-Lang-B 100k,46,0,rotate_pink_block_right -> turn_off_led -> lift_pink_block_table -> place_in_slider -> open_drawer
