artifact_type,path
figure,project/figures/task3_success_rate_D_extended/chunk_metrics_success_vs_failure.png
figure,project/figures/task3_success_rate_D_extended/first_failure_position_distribution.png
figure,project/figures/task3_success_rate_D_extended/first_failure_task_group.png
figure,project/figures/task3_success_rate_D_extended/long_horizon_attrition_curve.png
figure,project/figures/task3_success_rate_D_extended/per_task_success_rate_heatmap.png
figure,project/figures/task3_success_rate_D_extended/steps_to_success_distribution.png
figure,project/figures/task3_success_rate_D_extended/successful_prefix_distribution.png
figure,project/figures/task3_success_rate_D_extended/task_group_success_rate.png
table,project/tables/task3_success_rate_D_extended/chunk_metrics_success_vs_failure.csv
table,project/tables/task3_success_rate_D_extended/first_failure_taxonomy.csv
table,project/tables/task3_success_rate_D_extended/per_task_success_rate_matrix.csv
table,project/tables/task3_success_rate_D_extended/steps_to_success_summary.csv
table,project/tables/task3_success_rate_D_extended/steps_to_success_summary.tex
table,project/tables/task3_success_rate_D_extended/success_rate_improvements.csv
table,project/tables/task3_success_rate_D_extended/success_rate_improvements.tex
table,project/tables/task3_success_rate_D_extended/successful_prefix_distribution.csv
table,project/tables/task3_success_rate_D_extended/task_group_success_rate.csv
table,project/tables/task3_success_rate_D_extended/task_group_success_rate.tex
table,project/tables/task3_success_rate_D_extended/top_task_improvements_ABC200k_vs_B.csv
table,project/tables/task3_success_rate_D_extended/top_task_improvements_ABC200k_vs_B.tex
