task,act_lang_B_100k,act_lang_ABC_size_matched_100k,act_lang_ABC_200k,improvement_ABC200k_vs_B,task_group
open_drawer,0.5111111111111111,1.0,0.9818181818181818,0.47070707070707074,drawer
push_into_drawer,0.3703703703703703,0.5689655172413793,0.6285714285714286,0.25820105820105826,drawer
place_in_drawer,0.9285714285714286,0.9428571428571428,0.981132075471698,0.0525606469002694,drawer
close_drawer,1.0,1.0,1.0,0.0,drawer
lift_blue_block_table,0.1470588235294117,0.3384615384615385,0.369047619047619,0.22198879551820733,lift
lift_red_block_slider,0.2195121951219512,0.1971830985915492,0.3953488372093023,0.1758366420873511,lift
lift_pink_block_table,0.2857142857142857,0.3292682926829268,0.46,0.17428571428571432,lift
lift_pink_block_slider,0.2424242424242424,0.358974358974359,0.4,0.15757575757575762,lift
lift_red_block_table,0.3783783783783784,0.4337349397590361,0.4523809523809524,0.07400257400257398,lift
lift_blue_block_slider,0.282051282051282,0.282051282051282,0.3255813953488372,0.043530113297555184,lift
lift_blue_block_drawer,0.5,0.6,0.3333333333333333,-0.16666666666666669,lift
lift_pink_block_drawer,,0.5,0.8,,lift
lift_red_block_drawer,,0.6,1.0,,lift
turn_on_lightbulb,0.0,0.2547169811320754,0.8611111111111112,0.8611111111111112,light
turn_off_led,0.0,0.75,0.8543689320388349,0.8543689320388349,light
turn_on_led,0.0,0.7739130434782608,0.7565217391304347,0.7565217391304347,light
turn_off_lightbulb,0.0,0.1351351351351351,0.5569620253164557,0.5569620253164557,light
place_in_slider,0.7037037037037037,0.6756756756756757,0.8613861386138614,0.15768243491015765,place
push_blue_block_right,0.1851851851851851,0.5416666666666666,0.4642857142857143,0.2791005291005292,push
push_pink_block_right,0.34375,0.5581395348837209,0.56,0.21625000000000005,push
push_red_block_right,0.4242424242424242,0.5384615384615384,0.5862068965517241,0.1619644723092999,push
push_red_block_left,0.425,0.625,0.5846153846153846,0.15961538461538466,push
push_blue_block_left,0.4054054054054054,0.5306122448979592,0.4909090909090909,0.08550368550368553,push
push_pink_block_left,0.4285714285714285,0.3703703703703703,0.4615384615384615,0.032967032967033016,push
rotate_pink_block_right,0.1142857142857142,0.3404255319148936,0.576271186440678,0.46198547215496377,rotate
rotate_red_block_right,0.0967741935483871,0.4615384615384615,0.3214285714285714,0.2246543778801843,rotate
rotate_blue_block_right,0.15625,0.1454545454545454,0.3050847457627119,0.14883474576271188,rotate
rotate_blue_block_left,0.2,0.2325581395348837,0.32,0.12,rotate
rotate_pink_block_left,0.2916666666666667,0.2972972972972973,0.4,0.10833333333333334,rotate
rotate_red_block_left,0.3214285714285714,0.375,0.3541666666666667,0.03273809523809529,rotate
move_slider_right,0.1724137931034483,0.940119760479042,0.9175257731958762,0.745111980092428,slider
move_slider_left,0.0344827586206896,0.7540983606557377,0.7163120567375887,0.6818292981168991,slider
unstack_block,0.5,1.0,1.0,0.5,stack
stack_block,0.1052631578947368,0.2432432432432432,0.1428571428571428,0.037593984962406,stack
