task,act_lang_B_100k,act_lang_ABC_size_matched_100k,act_lang_ABC_200k,delta_ABC200k_vs_B,delta_ABC_SM_vs_B,task_group
turn_on_lightbulb,0.0,0.2547169811320754,0.8611111111111112,0.8611111111111112,0.2547169811320754,light
turn_off_led,0.0,0.75,0.8543689320388349,0.8543689320388349,0.75,light
turn_on_led,0.0,0.7739130434782608,0.7565217391304347,0.7565217391304347,0.7739130434782608,light
move_slider_right,0.1724137931034483,0.940119760479042,0.9175257731958762,0.745111980092428,0.7677059673755937,slider
move_slider_left,0.0344827586206896,0.7540983606557377,0.7163120567375887,0.6818292981168991,0.719615602035048,slider
turn_off_lightbulb,0.0,0.1351351351351351,0.5569620253164557,0.5569620253164557,0.1351351351351351,light
unstack_block,0.5,1.0,1.0,0.5,0.5,stack
open_drawer,0.5111111111111111,1.0,0.9818181818181818,0.47070707070707074,0.48888888888888893,drawer
rotate_pink_block_right,0.1142857142857142,0.3404255319148936,0.576271186440678,0.46198547215496377,0.2261398176291794,rotate
push_blue_block_right,0.1851851851851851,0.5416666666666666,0.4642857142857143,0.2791005291005292,0.3564814814814815,push
push_into_drawer,0.3703703703703703,0.5689655172413793,0.6285714285714286,0.25820105820105826,0.19859514687100904,drawer
rotate_red_block_right,0.0967741935483871,0.4615384615384615,0.3214285714285714,0.2246543778801843,0.36476426799007444,rotate
