environment,task,language_sequences
A,close_drawer,199
A,lift_blue_block_drawer,165
A,lift_blue_block_slider,130
A,lift_blue_block_table,124
A,lift_pink_block_drawer,179
A,lift_pink_block_slider,151
A,lift_pink_block_table,167
A,lift_red_block_drawer,180
A,lift_red_block_slider,144
A,lift_red_block_table,143
A,move_slider_left,171
A,move_slider_right,181
A,open_drawer,199
A,place_in_drawer,165
A,place_in_slider,149
A,push_blue_block_left,206
A,push_blue_block_right,219
A,push_into_drawer,152
A,push_pink_block_left,156
A,push_pink_block_right,175
A,push_red_block_left,182
A,push_red_block_right,215
A,rotate_blue_block_left,186
A,rotate_blue_block_right,229
A,rotate_pink_block_left,185
A,rotate_pink_block_right,177
A,rotate_red_block_left,230
A,rotate_red_block_right,171
A,stack_block,195
A,turn_off_led,182
A,turn_off_lightbulb,213
A,turn_on_led,176
A,turn_on_lightbulb,208
A,unstack_block,185
B,close_drawer,170
B,lift_blue_block_drawer,166
B,lift_blue_block_slider,210
B,lift_blue_block_table,198
B,lift_pink_block_drawer,138
B,lift_pink_block_slider,170
B,lift_pink_block_table,157
B,lift_red_block_drawer,182
B,lift_red_block_slider,177
B,lift_red_block_table,206
B,move_slider_left,180
B,move_slider_right,143
B,open_drawer,158
B,place_in_drawer,158
B,place_in_slider,180
B,push_blue_block_left,247
B,push_blue_block_right,221
B,push_into_drawer,215
B,push_pink_block_left,246
B,push_pink_block_right,217
B,push_red_block_left,202
B,push_red_block_right,150
B,rotate_blue_block_left,207
B,rotate_blue_block_right,235
B,rotate_pink_block_left,187
B,rotate_pink_block_right,186
B,rotate_red_block_left,140
B,rotate_red_block_right,73
B,stack_block,170
B,turn_off_led,183
B,turn_off_lightbulb,127
B,turn_on_led,182
B,turn_on_lightbulb,137
B,unstack_block,197
C,close_drawer,158
C,lift_blue_block_drawer,196
C,lift_blue_block_slider,185
C,lift_blue_block_table,203
C,lift_pink_block_drawer,208
C,lift_pink_block_slider,208
C,lift_pink_block_table,202
C,lift_red_block_drawer,163
C,lift_red_block_slider,204
C,lift_red_block_table,177
C,move_slider_left,179
C,move_slider_right,201
C,open_drawer,169
C,place_in_drawer,202
C,place_in_slider,197
C,push_blue_block_left,72
C,push_blue_block_right,86
C,push_into_drawer,158
C,push_pink_block_left,123
C,push_pink_block_right,133
C,push_red_block_left,141
C,push_red_block_right,160
C,rotate_blue_block_left,132
C,rotate_blue_block_right,61
C,rotate_pink_block_left,153
C,rotate_pink_block_right,162
C,rotate_red_block_left,155
C,rotate_red_block_right,281
C,stack_block,160
C,turn_off_led,161
C,turn_off_lightbulb,185
C,turn_on_led,167
C,turn_on_lightbulb,180
C,unstack_block,144
D,close_drawer,30
D,lift_blue_block_drawer,30
D,lift_blue_block_slider,30
D,lift_blue_block_table,30
D,lift_pink_block_drawer,30
D,lift_pink_block_slider,30
D,lift_pink_block_table,30
D,lift_red_block_drawer,30
D,lift_red_block_slider,30
D,lift_red_block_table,30
D,move_slider_left,30
D,move_slider_right,30
D,open_drawer,31
D,place_in_drawer,36
D,place_in_slider,30
D,push_blue_block_left,40
D,push_blue_block_right,34
D,push_into_drawer,43
D,push_pink_block_left,32
D,push_pink_block_right,36
D,push_red_block_left,35
D,push_red_block_right,29
D,rotate_blue_block_left,34
D,rotate_blue_block_right,36
D,rotate_pink_block_left,30
D,rotate_pink_block_right,33
D,rotate_red_block_left,35
D,rotate_red_block_right,29
D,stack_block,30
D,turn_off_led,30
D,turn_off_lightbulb,30
D,turn_on_led,30
D,turn_on_lightbulb,30
D,unstack_block,34
